prediction_type,step,loss,noise_mse,x0_mse,noise_cosine,steps_per_sec,gpu_memory_gb
epsilon,100000,0.0164361805934458,0.0164361805934458,0.1856862644106149,0.9915504390001296,6.066861309987475,3.993460178375244
v,100000,0.1086169635504484,0.0173260335344821,0.0912909302860498,0.9910721588134764,6.301651883698267,3.995901584625244
x0,100000,0.0915193858370184,0.0376583703327924,0.0915193858370184,0.9866674572229386,6.312387498200784,3.993460178375244
score,100000,7.688130526319146,0.0197085098177194,3.223952118754387,0.9900083416700364,5.473255266324709,3.993948459625244
