prediction_type,kernel_inception_distance_mean,kernel_inception_distance_std
epsilon,0.0063815593719482,0.0016298741246054
v,0.0088082790374755,0.0020576675660145
x0,0.0308164119720458,0.0035173146330374
score,0.2549797058105468,0.0090812640450055
